time,price,vol,buyorsell,volume,symbol
14:54,11.63,15,0,15,000001
14:54,11.63,81,0,81,000001
14:54,11.63,90,0,90,000001
14:54,11.63,40,0,40,000001
14:54,11.63,34,0,34,000001
14:54,11.63,59,0,59,000001
14:54,11.62,26,1,26,000001
14:54,11.63,60,0,60,000001
14:55,11.62,156,1,156,000001
14:55,11.63,91,0,91,000001
14:55,11.62,164,1,164,000001
14:55,11.62,113,1,113,000001
14:55,11.63,1291,0,1291,000001
14:55,11.62,314,1,314,000001
14:55,11.62,52,1,52,000001
14:55,11.63,375,0,375,000001
14:55,11.63,21,0,21,000001
14:55,11.62,261,1,261,000001
14:55,11.63,1043,0,1043,000001
14:55,11.63,966,0,966,000001
14:55,11.63,52,0,52,000001
14:55,11.63,149,0,149,000001
14:55,11.62,80,1,80,000001
14:55,11.62,212,1,212,000001
14:55,11.62,238,1,238,000001
14:55,11.63,141,0,141,000001
14:55,11.62,353,1,353,000001
14:55,11.62,281,1,281,000001
14:56,11.63,110,0,110,000001
14:56,11.62,178,1,178,000001
14:56,11.63,167,0,167,000001
14:56,11.62,1542,1,1542,000001
14:56,11.63,1276,0,1276,000001
14:56,11.62,1328,1,1328,000001
14:56,11.62,214,1,214,000001
14:56,11.62,211,1,211,000001
14:56,11.63,1226,0,1226,000001
14:56,11.62,85,1,85,000001
14:56,11.63,171,0,171,000001
14:56,11.62,134,1,134,000001
14:56,11.63,386,0,386,000001
14:56,11.63,127,0,127,000001
14:56,11.63,231,0,231,000001
14:56,11.63,80,0,80,000001
14:56,11.63,312,0,312,000001
14:56,11.63,18,0,18,000001
14:56,11.63,221,0,221,000001
14:56,11.63,113,0,113,000001
14:57,11.63,362,0,362,000001
15:00,11.64,19985,2,19985,000001
14:54,10.04,12,0,12,600000
14:54,10.04,16,0,16,600000
14:54,10.04,45,0,45,600000
14:54,10.04,3,0,3,600000
14:54,10.03,1,1,1,600000
14:54,10.03,36,1,36,600000
14:54,10.04,16,0,16,600000
14:54,10.04,2,0,2,600000
14:54,10.04,192,0,192,600000
14:55,10.03,31,1,31,600000
14:55,10.04,14,0,14,600000
14:55,10.03,11,1,11,600000
14:55,10.04,220,0,220,600000
14:55,10.04,16,0,16,600000
14:55,10.03,6,1,6,600000
14:55,10.03,40,1,40,600000
14:55,10.04,3,0,3,600000
14:55,10.03,6,1,6,600000
14:55,10.03,4,1,4,600000
14:55,10.03,40,1,40,600000
14:55,10.04,125,0,125,600000
14:55,10.03,23,1,23,600000
14:55,10.04,13,0,13,600000
14:55,10.04,91,0,91,600000
14:55,10.04,12,0,12,600000
14:55,10.04,12,0,12,600000
14:55,10.04,17,0,17,600000
14:55,10.04,18,0,18,600000
14:55,10.04,17,0,17,600000
14:56,10.04,392,0,392,600000
14:56,10.04,324,1,324,600000
14:56,10.04,37,0,37,600000
14:56,10.04,72,0,72,600000
14:56,10.04,106,0,106,600000
14:56,10.05,7,0,7,600000
14:56,10.05,38,0,38,600000
14:56,10.05,50,0,50,600000
14:56,10.04,9,2,9,600000
14:56,10.04,35,1,35,600000
14:56,10.04,35,0,35,600000
14:56,10.05,197,0,197,600000
14:56,10.05,25,0,25,600000
14:56,10.05,22,0,22,600000
14:56,10.05,2,0,2,600000
14:56,10.05,76,0,76,600000
14:56,10.04,2,1,2,600000
14:56,10.03,22,1,22,600000
14:56,10.04,27,2,27,600000
14:57,10.05,2,0,2,600000
15:00,10.06,17748,2,17748,600000
14:54,153.99,136,0,136,000858
14:54,153.98,87,0,87,000858
14:54,153.98,40,0,40,000858
14:54,153.97,66,2,66,000858
14:54,153.96,85,1,85,000858
14:54,153.96,67,1,67,000858
14:54,153.96,46,2,46,000858
14:54,153.97,115,0,115,000858
14:55,153.96,114,2,114,000858
14:55,153.98,81,0,81,000858
14:55,153.98,298,0,298,000858
14:55,153.97,350,2,350,000858
14:55,153.98,110,0,110,000858
14:55,153.98,159,1,159,000858
14:55,153.98,100,1,100,000858
14:55,153.98,127,1,127,000858
14:55,153.97,111,1,111,000858
14:55,153.98,102,0,102,000858
14:55,153.97,93,1,93,000858
14:55,153.97,61,0,61,000858
14:55,153.97,91,0,91,000858
14:55,153.96,57,2,57,000858
14:55,153.95,67,1,67,000858
14:55,153.95,54,1,54,000858
14:55,153.95,60,1,60,000858
14:55,153.96,130,0,130,000858
14:55,153.96,107,1,107,000858
14:55,153.96,52,1,52,000858
14:56,153.95,205,1,205,000858
14:56,153.96,94,0,94,000858
14:56,153.98,159,0,159,000858
14:56,153.95,128,1,128,000858
14:56,153.95,125,0,125,000858
14:56,153.97,57,0,57,000858
14:56,153.96,146,1,146,000858
14:56,153.98,74,0,74,000858
14:56,153.97,59,1,59,000858
14:56,153.94,132,1,132,000858
14:56,153.98,63,0,63,000858
14:56,153.96,58,1,58,000858
14:56,153.97,130,0,130,000858
14:56,153.97,87,0,87,000858
14:56,153.98,89,0,89,000858
14:56,153.96,34,1,34,000858
14:56,153.96,85,1,85,000858
14:56,153.96,53,1,53,000858
14:56,153.96,52,0,52,000858
14:56,153.95,92,1,92,000858
14:57,153.97,39,0,39,000858
15:00,153.97,4903,2,4903,000858
